task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_active_params,n_deterministic_nonzero_params,n_inactive_zero_params,operationally_resolvable_fraction,deterministic_nonzero_labels,inactive_zero_labels,n_circuit_theta_params,n_residual_alpha_params,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,48,3,sum,18.277450957421774,20.176216469617657,9.402414606024609,2.787679553739568,29.879328054604557,12,12,0,0,1.0,,,12,0,0.6967912772369029
tfim_h0.5,"TFIM (J=1, h=0.5)",4,2,entanglement_only,Constrained entanglement only,49,3,sum,11.170589124217882,8.793883969229178,9.250041855785105,0.14503616038370007,28.04133402202489,12,12,0,0,1.0,,,12,0,0.40735707491832013
tfim_h0.5,"TFIM (J=1, h=0.5)",4,3,local_cost_only,Local cost function only,0,3,sum,6.764786120138105,4.076951095219552,7.335791457316315,1.2432220538980504e-15,23.919487465455987,12,12,0,0,1.0,,,12,0,0.1423496575419592
tfim_h0.5,"TFIM (J=1, h=0.5)",4,3,local_cost_only,Local cost function only,1,3,sum,9.846255666402788,1.7967960144415864,22.705592320202108,0.0,83.45941407294114,12,12,0,0,1.0,,,12,0,0.13316780468058473
tfim_h0.5,"TFIM (J=1, h=0.5)",4,3,local_cost_only,Local cost function only,2,3,sum,13.95097140533757,2.27002861868949,21.737049514597327,0.0,70.1423859560843,12,12,0,0,1.0,,,12,0,0.21329743882465446
tfim_h0.5,"TFIM (J=1, h=0.5)",4,3,local_cost_only,Local cost function only,3,3,sum,8.954200599331235,6.502880123369417,9.408027843825316,0.0,27.989314738761344,12,12,0,0,1.0,,,12,0,0.18073997217037274
tfim_h0.5,"TFIM (J=1, h=0.5)",4,3,local_cost_only,Local cost function only,4,3,sum,11.29432006621868,3.264298526211933,17.329440362867295,1.3413580751171663e-15,53.19155968099896,12,12,0,0,1.0,,,12,0,0.1871631741564003
tfim_h0.5,"TFIM (J=1, h=0.5)",4,3,local_cost_only,Local cost function only,5,3,sum,13.795030061066432,0.2538534206669463,29.96132186703485,0.0,107.02909212549758,12,12,0,0,1.0,,,12,0,0.1682876842251367
tfim_h0.5,"TFIM (J=1, h=0.5)",4,3,local_cost_only,Local cost function only,6,3,sum,11.876402351361326,6.018711894218259,14.738487346096985,0.0,44.194666181982555,12,12,0,0,1.0,,,12,0,0.21370720541130614
tfim_h0.5,"TFIM (J=1, h=0.5)",4,3,local_cost_only,Local cost function only,7,3,sum,7.974267053748221,2.2736345515745713,12.426455261010826,0.0,42.07171951269049,12,12,0,0,1.0,,,12,0,0.14564832465736624
