task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_finite_params,n_deterministic_params,deterministic_labels,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,33,3,sum,13.632724439451588,11.124798514162494,8.074139111238743,6.133473871165514,31.16367870889404,6,6,0,,0.299693896204743
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,34,3,sum,55.61409027941497,55.63297451523294,52.51538678910769,2.888001515061898,108.90232433144793,6,6,0,,0.5045384321380609
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,35,3,sum,10.274750987317677,8.795947904758798,9.515224480325015,0.4216730333749605,28.23512802095522,6,6,0,,0.24832706074443564
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,36,3,sum,28.612974642793358,29.996314330276274,21.865807290782662,3.7158803693225755,60.47280382362717,6,6,0,,0.49985985290209073
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,37,3,sum,14.76379445794261,12.84581884310101,4.79921329894188,11.750558330535819,25.448933044715798,6,6,0,,0.3416809821920401
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,38,3,sum,51.83621437579226,50.91666567998835,45.42016055528266,6.45046382538297,100.90942798112384,6,6,0,,0.6982444336756427
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,39,3,sum,11.259612471916535,11.26714598201606,8.24025688140603,2.9730411920905824,19.516049711344376,6,6,0,,0.3064247068929193
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,40,3,sum,59.41952892442253,18.247953383738558,66.3675041875987,2.5015524176610517,152.98059222415654,6,6,0,,0.5543698646190522
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,41,3,sum,24.343474748440624,21.806533088782164,15.724852661828368,8.035909341396101,43.18798181514361,6,6,0,,0.5042077426219613
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,42,3,sum,20.666496554300974,18.54706321925054,10.843373820108493,9.60070868175755,41.058835785960206,6,6,0,,0.46819416673867514
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,43,3,sum,29.30540182505652,23.814856593378927,18.91660042020388,14.307002686553087,68.31362394765121,6,6,0,,0.6048284730917728
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,44,3,sum,13.734884009822009,9.711458810212548,6.710984582026965,7.230765478611006,23.146699591116022,6,6,0,,0.2464300208008389
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,45,3,sum,16.53087208708637,17.13334327255987,1.7153059230061516,14.267161813198044,18.623369059997152,6,6,0,,0.33374353826462405
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,46,3,sum,30.930199939808475,30.175967460472872,21.95380605697124,7.5049616277945015,66.83269530031681,6,6,0,,0.6471297348786368
tfim_h0.5,"TFIM (J=1, h=0.5)",2,2,entanglement_only,Constrained entanglement only,47,3,sum,30.453314918405514,9.259397002422128,32.19997209818473,4.21557709885855,75.92800059869343,6,6,0,,0.3908226228858707
