configuration_id,E,L,R,depth,budget,analysis_mode,cost_type,total_requested_shots,total_realized_shots,total_jobs,shifted_jobs,forward_feature_jobs,node_jacobian_jobs,objective_observable_jobs,objective_observable_settings,minimum_shots_per_job,mean_shots_per_job,median_shots_per_job,maximum_shots_per_job,zero_shot_jobs,base_shots,remainder_shots,remainder_policy
3,0,1,0,3,1000,finite_shot_conditional,local,1000,1000,32,32,0,16,16,2,31,31.25,31.0,32,0,31,8,"sorted(block,parameter,shift,basis)"
3,0,1,0,3,1000,finite_shot_end_to_end,local,1000,1000,34,32,2,16,16,2,29,29.41176470588235,29.0,30,0,29,14,"sorted(block,parameter,shift,basis)"
3,0,1,0,3,2000,finite_shot_conditional,local,2000,2000,32,32,0,16,16,2,62,62.5,62.5,63,0,62,16,"sorted(block,parameter,shift,basis)"
3,0,1,0,3,2000,finite_shot_end_to_end,local,2000,2000,34,32,2,16,16,2,58,58.8235294117647,59.0,59,0,58,28,"sorted(block,parameter,shift,basis)"
3,0,1,0,4,250,finite_shot_conditional,local,250,250,40,40,0,24,16,2,6,6.25,6.0,7,0,6,10,"sorted(block,parameter,shift,basis)"
3,0,1,0,4,250,finite_shot_end_to_end,local,250,250,43,40,3,24,16,2,5,5.813953488372093,6.0,6,0,5,35,"sorted(block,parameter,shift,basis)"
3,0,1,0,4,500,finite_shot_conditional,local,500,500,40,40,0,24,16,2,12,12.5,12.5,13,0,12,20,"sorted(block,parameter,shift,basis)"
3,0,1,0,4,500,finite_shot_end_to_end,local,500,500,43,40,3,24,16,2,11,11.627906976744185,12.0,12,0,11,27,"sorted(block,parameter,shift,basis)"
3,0,1,0,4,1000,finite_shot_conditional,local,1000,1000,40,40,0,24,16,2,25,25.0,25.0,25,0,25,0,"sorted(block,parameter,shift,basis)"
3,0,1,0,4,1000,finite_shot_end_to_end,local,1000,1000,43,40,3,24,16,2,23,23.25581395348837,23.0,24,0,23,11,"sorted(block,parameter,shift,basis)"
3,0,1,0,4,2000,finite_shot_conditional,local,2000,2000,40,40,0,24,16,2,50,50.0,50.0,50,0,50,0,"sorted(block,parameter,shift,basis)"
3,0,1,0,4,2000,finite_shot_end_to_end,local,2000,2000,43,40,3,24,16,2,46,46.51162790697674,47.0,47,0,46,22,"sorted(block,parameter,shift,basis)"
3,0,1,0,6,250,finite_shot_conditional,local,250,250,56,56,0,40,16,2,4,4.464285714285714,4.0,5,0,4,26,"sorted(block,parameter,shift,basis)"
3,0,1,0,6,250,finite_shot_end_to_end,local,250,250,61,56,5,40,16,2,4,4.098360655737705,4.0,5,0,4,6,"sorted(block,parameter,shift,basis)"
3,0,1,0,6,500,finite_shot_conditional,local,500,500,56,56,0,40,16,2,8,8.928571428571429,9.0,9,0,8,52,"sorted(block,parameter,shift,basis)"
3,0,1,0,6,500,finite_shot_end_to_end,local,500,500,61,56,5,40,16,2,8,8.19672131147541,8.0,9,0,8,12,"sorted(block,parameter,shift,basis)"
3,0,1,0,6,1000,finite_shot_conditional,local,1000,1000,56,56,0,40,16,2,17,17.857142857142858,18.0,18,0,17,48,"sorted(block,parameter,shift,basis)"
